name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
lauritzh/dead-domain-discovery,https://github.com/lauritzh/dead-domain-discovery,48,"This Chromium extension scans the page for external iFrames, Scripts, and Styles, logs them to the console, and checks if their domains are resolvable.",Apache License 2.0,0,1,1,1,2024-10-08
agnilondapakou/helloWorld,https://github.com/agnilondapakou/helloWorld,45,Hello world is an Open Source project for programming beginners. It consists in providing a program that returns the “Hello World” message in the programming language you know.,The MIT License,0,0,613,0,2024-10-02
strivedi4u/hacktoberfest2024,https://github.com/strivedi4u/hacktoberfest2024,72,"This repository is for beginners who want to contribution in open source Hacktoberfest 2024.This project is designed to promote learning and growth in the field of software development. It offers a range of coding challenges and projects that cover various topics, from basic algorithms to complex application development.",Apache License 2.0,0,0,218,0,2024-10-01
gnmyt/Nexterm,https://github.com/gnmyt/Nexterm,2650,"The open source server management software for SSH, VNC & RDP",The MIT License,0,0,87,0,2024-08-13
openai/openai-realtime-api-beta,https://github.com/openai/openai-realtime-api-beta,862,Node.js + JavaScript reference client for the Realtime API (beta),The MIT License,0,0,78,0,2024-09-30
6Kmfi6HP/EDtunnel,https://github.com/6Kmfi6HP/EDtunnel,1846,"EDtunnel 是一个基于 Cloudflare Workers 和 Pages 的代理工具，支持多种协议和配置选项。  EDtunnel is a proxy tool based on Cloudflare Workers and Pages, supporting multiple protocols and configuration options.",The MIT License,0,0,66,0,2024-09-11
openai/openai-realtime-console,https://github.com/openai/openai-realtime-console,2911,"React app for inspecting, building and debugging with the Realtime API",The MIT License,0,0,48,0,2024-09-30
chrisgoringe/cg-controller,https://github.com/chrisgoringe/cg-controller,58,,The MIT License,0,0,45,0,2024-09-30
InternLM/MindSearch,https://github.com/InternLM/MindSearch,6029,🔍 An LLM-based Multi-agent Framework of Web Search Engine (like Perplexity.ai Pro and SearchGPT),Apache License 2.0,0,0,41,0,2024-07-28
ivysone/Will-you-be-my-Valentine-,https://github.com/ivysone/Will-you-be-my-Valentine-,374,"A simple interactive webpage built using HTML, CSS, and JavaScript.",The MIT License,0,0,38,0,2025-01-31
SamarthTech/web-projects-2024,https://github.com/SamarthTech/web-projects-2024,73,This is the Official Repository of SAMARTH for Open-Odyssey 1.0. Contribute your Web Development or Applications in our Repository 🔥. Make Quality Contributions 😎,The MIT License,0,0,32,0,2024-09-25
EddieHubCommunity/HealthCheck,https://github.com/EddieHubCommunity/HealthCheck,75,Checks how friendly your Open Source project is and suggests improvements! Sponsored by @Flagsmith,The MIT License,0,0,31,0,2024-07-07
hexgrad/kokoro,https://github.com/hexgrad/kokoro,1144,https://hf.co/hexgrad/Kokoro-82M,Apache License 2.0,0,0,30,0,2025-01-10
Toxic1239/Zenon_Crash,https://github.com/Toxic1239/Zenon_Crash,151,Zenon Bug Bot Made By Toxxic Boy,Apache License 2.0,0,0,30,0,2024-07-19
sunzsh/internal-chat,https://github.com/sunzsh/internal-chat,563,纯html写的局域网文字/文件p2p传输工具,The MIT License,0,0,28,0,2024-12-14
PatrickJS/everyone-ssn-usa,https://github.com/PatrickJS/everyone-ssn-usa,317,releasing everyone's SSN and the hacks used to acquire them ,The MIT License,0,0,28,0,2024-08-15
Bot-hostin/DRK-RAGNA-1.0,https://github.com/Bot-hostin/DRK-RAGNA-1.0,73,new whatsapp box efficient powerful with all active commands 100% free leave a like if you liked it...,The MIT License,0,0,27,0,2024-11-13
groovelauncher/GrooveLauncher,https://github.com/groovelauncher/GrooveLauncher,148,A groovy personalized home screen experience for Android,The MIT License,0,0,25,0,2024-08-06
dante4rt/nodepay-airdrop-bot,https://github.com/dante4rt/nodepay-airdrop-bot,115,"A bot for automating Nodepay airdrop interactions, including session management and pinging with proxy support.",The MIT License,0,0,23,0,2024-11-10
bitrix-tools/b24-rest-docs,https://github.com/bitrix-tools/b24-rest-docs,52,"Полная документация по REST API  Битрикс24, разработке приложений и интеграций",The MIT License,0,0,23,0,2024-08-16
7Sageer/sublink-worker,https://github.com/7Sageer/sublink-worker,1586,无需服务器，一键部署，快速使用自建节点分享URL进行订阅转换，提供灵活的自定义选项，支持SingBox/Clash/V2Ray/Xray,The MIT License,0,0,22,0,2024-07-27
erosDiffusion/ComfyUI-enricos-nodes,https://github.com/erosDiffusion/ComfyUI-enricos-nodes,369,Compositor Node experiments,The MIT License,0,0,20,0,2024-08-20
Toxic1239/RIASGREMORYBOT,https://github.com/Toxic1239/RIASGREMORYBOT,235,WhatsApp Bot Made By Toxxic Tech,Apache License 2.0,0,0,20,0,2024-07-05
BADBOI-v1/BADBOI-v2,https://github.com/BADBOI-v1/BADBOI-v2,59,A WhatsApp bot made with up-to-date technology and scientific insights by BADBOI  MD,Apache License 2.0,0,0,18,0,2024-07-12
dante4rt/blum-airdrop-bot,https://github.com/dante4rt/blum-airdrop-bot,143,"Automates interactions with the Blum airdrop platform, including claiming rewards, managing farming sessions, completing tasks, and playing games.",The MIT License,0,0,17,0,2024-08-15
fetchfox/fetchfox,https://github.com/fetchfox/fetchfox,125,,The MIT License,0,0,17,0,2024-08-28
Zlkcyber/LedgeBot,https://github.com/Zlkcyber/LedgeBot,88,layeredge auto run node - support multy accounts - support proxy usage - auto referral,The MIT License,0,0,17,0,2025-01-24
google-gemini/example-chat-app,https://github.com/google-gemini/example-chat-app,65,Get up and running with the Gemini API using Node.js and Python,Apache License 2.0,0,0,17,0,2024-09-04
banocean/ifv,https://github.com/banocean/ifv,45,Browser extension with improvements for eduVULCAN and Dziennik VULCAN,The MIT License,0,0,17,0,2024-08-27
xinnan-tech/xiaozhi-esp32-server,https://github.com/xinnan-tech/xiaozhi-esp32-server,511,"本项目为xiaozhi-esp32提供后端服务，帮助您快速搭建ESP32设备控制服务器。Backend service for xiaozhi-esp32, helps you quickly build an ESP32 device control server.",The MIT License,0,0,16,0,2025-02-02
tech-shrimp/gemini-playground,https://github.com/tech-shrimp/gemini-playground,507,"Deploy a Gemini multimodal chat website in 10 seconds, Severless!         只需准备一个Gemini API Key，10秒即可部署一个Gemini多模态对话的网站。",The MIT License,0,0,16,0,2025-01-03
hotwired/spark,https://github.com/hotwired/spark,349,Hot reloading for Hotwire,The MIT License,0,0,16,0,2024-11-23
es-tooling/module-replacements-codemods,https://github.com/es-tooling/module-replacements-codemods,190,,The MIT License,0,0,15,0,2024-07-17
Zlkcyber/oasis-bot,https://github.com/Zlkcyber/oasis-bot,68,oasis ai bot auto create multiple providers and send hearbeat every minutes,The MIT License,0,0,15,0,2024-12-02
easychen/ai-rss,https://github.com/easychen/ai-rss,164,AI时代的RSS生成器,The MIT License,0,0,14,0,2024-12-22
microsoft/cloudcloak,https://github.com/microsoft/cloudcloak,93,A hackathon idea to hide sensitive information in the Azure Portal,The MIT License,0,0,14,0,2024-09-12
huggingface/transformers.js-examples,https://github.com/huggingface/transformers.js-examples,1275,A collection of 🤗 Transformers.js demos and example applications,Apache License 2.0,0,0,13,0,2024-08-12
web3bothub/gradient-bot,https://github.com/web3bothub/gradient-bot,103,https://app.gradient.network/signup?code=EK8G9A,The MIT License,0,0,13,0,2024-09-18
mikoshu/gewechaty,https://github.com/mikoshu/gewechaty,189,GeweBot是基于Gewechat项目的二次封装，提供了更方便的使用方式。它参考wechaty的api实现，以满足更快速开发的需求。,The MIT License,0,0,12,0,2024-09-25
lizhipay/mcy-shop,https://github.com/lizhipay/mcy-shop,138,纯原生PHP打造一款极具潜力的个人创业型商城系统，支持虚拟商品，实体商品，任意支付方式！,The MIT License,0,0,12,0,2024-10-13
springreport/springreport,https://github.com/springreport/springreport,195,SpringReport是一款企业级的报表系统，支持在线设计报表，并绑定动态数据源，无需写代码即可快速生成想要的报表，可以支持excel报表和word报表两种格式，同时还可以支持excel多人协同编辑,Apache License 2.0,0,0,11,0,2024-07-14
alamshafil/auto-shorts,https://github.com/alamshafil/auto-shorts,157,AutoShorts can generate short videos with the help of AI. It can generate popular types of video seen on YouTube Shorts and TikTok.,The MIT License,0,0,11,0,2024-07-31
leo4life2/MinePal,https://github.com/leo4life2/MinePal,116,AI friend that you can talk to and play with in Minecraft.,The MIT License,0,0,11,0,2024-07-07
Toxic1239/Queen-RiasV3_,https://github.com/Toxic1239/Queen-RiasV3_,67,,The MIT License,0,0,11,0,2025-01-09
nolenroyalty/every-uuid,https://github.com/nolenroyalty/every-uuid,512,in case I forget one,The MIT License,0,0,10,0,2024-12-02
addyosmani/git2txt,https://github.com/addyosmani/git2txt,456,CLI tool to convert GitHub repositories to text files for LLMs,The MIT License,0,0,10,0,2024-11-21
DeepLifeStudio/DeepSeekAI,https://github.com/DeepLifeStudio/DeepSeekAI,354,Browser extension for invoking the DeepSeek AI large model.,The MIT License,0,0,10,0,2024-08-21
dante4rt/t3rn-airdrop-bot,https://github.com/dante4rt/t3rn-airdrop-bot,169,A bot for automating transactions and bridging assets on the t3rn network.,The MIT License,0,0,10,0,2024-09-01
eslint/css,https://github.com/eslint/css,167,CSS language plugin for ESLint,Apache License 2.0,0,0,10,0,2024-10-25
robertvoy/ComfyUI-Flux-Continuum,https://github.com/robertvoy/ComfyUI-Flux-Continuum,127,A modular workflow for FLUX inside of ComfyUI that brings order to the chaos of image generation pipelines.,The MIT License,0,0,10,0,2024-10-14
platformatic/ssr-performance-showdown,https://github.com/platformatic/ssr-performance-showdown,99,Let's evaluate the performance of SSR libraries,Apache License 2.0,0,0,10,0,2024-08-19
Zlkcyber/teneo-farm,https://github.com/Zlkcyber/teneo-farm,61,"Running Teneo Node BETA, CLI Version, Teneo Is an Browser extension Node Based.",The MIT License,0,0,10,0,2024-10-29
Zlkcyber/litasBot,https://github.com/Zlkcyber/litasBot,51,auto claim and auto start mining for litas -- support proxy usage -- support multy accounts,The MIT License,0,0,10,0,2025-01-16
clusterzx/paperless-ai,https://github.com/clusterzx/paperless-ai,2108,"An automated document analyzer for Paperless-ngx using OpenAI API, Ollama and all OpenAI API compatible Services to automatically analyze and tag your documents.",The MIT License,0,0,9,0,2024-12-01
arthurfiorette/proposal-try-operator,https://github.com/arthurfiorette/proposal-try-operator,1684,Draft for ECMAScript Error Safe Assignment Operator,The MIT License,0,0,9,0,2024-08-12
dimdenGD/ultimate-express,https://github.com/dimdenGD/ultimate-express,575,"The Ultimate Express. Fastest http server with full Express compatibility, based on µWebSockets.",Apache License 2.0,0,0,9,0,2024-09-08
need4swede/Portall,https://github.com/need4swede/Portall,416,Port Management Interface,The MIT License,0,0,9,0,2024-07-07
humanwhocodes/mentoss,https://github.com/humanwhocodes/mentoss,147,The best way to mock JavaScript fetch requests,Apache License 2.0,0,0,9,0,2025-01-22
11ty/eleventy-import,https://github.com/11ty/eleventy-import,98,"Utility to import content from multiple services (and a CLI, too)",The MIT License,0,0,9,0,2024-11-07
kingmalvn/MALVIN-XD,https://github.com/kingmalvn/MALVIN-XD,83,MALVIN XD Whatsapp Bot | World Best Whatsapp Bot | Made In Zimbabwe ,Apache License 2.0,0,0,9,0,2025-01-25
Zlkcyber/opledBot,https://github.com/Zlkcyber/opledBot,62,auto connect and send heartbeat for openledger - support multy accounts - support proxy usage - auto claim daily reward,The MIT License,0,0,9,0,2025-01-10
dante4rt/plume-testnet-bot,https://github.com/dante4rt/plume-testnet-bot,58,A bot for interacting with the Plume Testnet faucet and managing transactions automatically.,The MIT License,0,0,9,0,2024-07-17
abinthomasonline/repo2txt,https://github.com/abinthomasonline/repo2txt,1120,Web-based tool converts GitHub repository contents into a single formatted text file,The MIT License,0,0,8,0,2024-09-23
eimg/rsd25,https://github.com/eimg/rsd25,383,Rockstar Developer 2025 - Book and Source Code,The MIT License,0,0,8,0,2024-07-16
anaisbetts/mcp-installer,https://github.com/anaisbetts/mcp-installer,320,An MCP server that installs other MCP servers for you,The MIT License,0,0,8,0,2024-11-26
dh1011/subscription-manager,https://github.com/dh1011/subscription-manager,181,A simple web app to help you keep track of your subscriptions and manage your expenses.,The MIT License,0,0,8,0,2024-09-27
JetBrains/mcp-jetbrains,https://github.com/JetBrains/mcp-jetbrains,88,"A model context protocol server to work with JetBrains IDEs: IntelliJ, PyCharm, WebStorm, etc. Also, works with Android Studio",Apache License 2.0,0,0,8,0,2024-12-09
cierru/st-stepped-thinking,https://github.com/cierru/st-stepped-thinking,79,An extension for SillyTavern that lets characters think before responding,The MIT License,0,0,8,0,2024-10-11
humanwhocodes/crosspost,https://github.com/humanwhocodes/crosspost,76,A JavaScript utility for posting across multiple social networks at once,Apache License 2.0,0,0,8,0,2024-11-08
Zlkcyber/haustBot,https://github.com/Zlkcyber/haustBot,75,HAUST AUTO CLAIM FAUCET,The MIT License,0,0,8,0,2025-01-01
krasch/trans-europe-planner,https://github.com/krasch/trans-europe-planner,61,Making it simpler to plan cross-country rail trips in Europe,The MIT License,0,0,8,0,2024-09-04
alloy-framework/alloy,https://github.com/alloy-framework/alloy,55,A code generation framework inspired by JavaScript front-end frameworks,The MIT License,0,0,8,0,2024-07-16
phaserjs/phaser-box2d,https://github.com/phaserjs/phaser-box2d,54,"A high-performance, industry-standard 2D physics engine built on Box2D v3, delivering incredibly realistic and engaging web game experiences.",The MIT License,0,0,8,0,2024-12-23
